show_id,listed_in,Comedy,Stand Up,Crime,Drama,Thriller,Action,Horror,Fantasy,Family,Kids,Cooking & Food,Documentaries,Lifestyle & Culture,Music,News,Reality,Sports,History,Teen,Black Stories,Romance,Mystery,Latino,Adventure,Anime,Late Night,Sketch Comedy,Classics,LGBTQ+,Adult Animation,Sitcom,Health & Wellness,International,Game Shows,Cartoons,Science & Technology
h-s242,"Documentaries, Reality",,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
h-s243,"Documentaries, Sports",,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,
h-s244,News,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
h-s245,"Comedy, Drama, Music",1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
h-s246,"Black Stories, Drama",,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
h-s247,News,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
h-s248,News,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
h-s249,Comedy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h-s250,"Action, Drama, Science Fiction",,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h-s251,Sports,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
h-s252,Documentaries,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
h-s253,Sports,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
h-s254,"Drama, History, Music",,,,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,
h-s255,Music,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
h-s256,Documentaries,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
h-s257,"Drama, Romance",,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
h-s258,Drama,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h-s259,"Action, Thriller",,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
